Country,Location,Activity,Fatal Y/N,Species
AUSTRALIA,Killick Creek near Crescent Head,Swimming,N,Unknown
USA,Pago Pago Harbor,Diving,N,Unknown
USA,"Keawakapu Point, Kehei, Maui",Snorkeling,Y,Tiger shark
USA,Hobe Sound,Swimming,N,Unknown
USA,"Del Mar Beach, San Diego County",Swimming,N,Juvenile white shark
USA,"Cape San Blas, Gulf County",Fishing,N,Unknown
USA,"Otter Point, Pacific Grove",Surfing,N,Unknown
USA,25 mikes from Empire,Fishing,N,Unknown
BAHAMAS,Cat Island,Diving,N,Unknown
USA,Horn Island,Fishing,N,5'shark
USA,Kauai,Snorkeling,N,Tiger shark?
AUSTRALIA,Seacliff,Surf skiing ,N,3m shark
USA,"Key Largo, Monroe County",Fishing,N,Juvenile nurse shark
USA,25 miles off Empire,Shipwreck,N,Unknown
AUSTRALIA,Port Hedland,Spearfishing,N,Bull shark
AUSTRALIA,"Nun's Beach, Portland",Surfing,N,Unknown
USA,Centerville Beach,Surfing,N,"White shark, 13'"
SOUTH AFRICA,"Central Beach, Plettenberg Bay",Swimming,Y,"White shark, 13'"
USA,"Marathon, Monroe County",Spearfishing,N,Bu.ll
BAHAMAS,Green Cay,Snorkeling,Y,Bull shark
USA,"Lower Paia Beach Park, Maui",Swimming  or Snorkeling,N,Unknown
AUSTRALIA,Avoca,Surfing,N,Bronze whaler
AUSTRALIA,Coffs Harbour,Kayaking,N,"White shark, 3 m"
USA,"Myrtle Beach, Horry County",Swimming,N,Unknown
USA,"Myrtle Beach, Horry County",Standing,N,Blacktip shark
AUSTRALIA,Goode Beach,Spearfishing,N,White shark
USA,"Looe Key, Monroe County",Snorkeling,N,"Bull shark, 9'"
USA,"Lovers Point, Pacific Grove, Monterey County",Paddleboarding,N,Unknown
ENGLAND,Penzance,Snorkeling,N,Blue shark
USA,"Florida Keys, Monroe County",Lobstering,N,Nurse shark
USA,"Daytona Beach, Volusia County",Wading,N,Blacktip shark?
USA,"Kismet Beach, Long Island",Surfing,N,6' shark
USA,"Cape Canaveral, Brevard County",,N,Shark involvement not confirmed
USA,"Topsail Beach, Pender County",Surfing,N,Unknown
USA,"Content Keys, Monroe County",Fishing,N,Lemon shark  6'
USA,"Daytona Beach Shores, Volusia County",,N,"""A small shark"""
USA,"Seaview Beach, Suffolk County",,N,Unknown
USA,"Smith Point Beach, Suffolk County",Surfing,N,Thought to involve a 4' sandtiger shark
USA,"New Smyrna Beach, Volusia County",Surfing,N,6' shark
USA,"Ocean Beach, Long Island",Lifeguard Training Exercise,N,Unknown
JAPAN,Nago,Snorkeling,Y,Unknown
USA,"New Smyrna Beach, Volusia County",Surfing,N,Unknown
USA,"Smith Point Beach, Suffolk County",Lifeguard Exercises,N,5'shark
INDONESIA,Balian Beach,Surfing,N,Unknown
EGYPT,Sahl Hasheesh,Snorkeling,Y,Oceaniic whitetip shark/tiger shark
EGYPT,Sahl Hasheesh,Swimming,Y,"Oceaniic whitetip shark/tiger shark, 2m shark"
USA,"Jones Beach, Nassau County",Swimming,N,Shark involvement not confirmed
USA,"Keaton Beach, ",Scalloping,N,9' shark
USA,"Sawyer Key , Monroe County",Swimming,N,Unknown
USA,"Summerland Key, Monroe County",Jumped into water,N,Unknown
SOUTH AFRICA,"Sanctuary Beach, Plettenberg Bay",Swimming,Y,While shark
USA,"Redington Beach, Pinellas County",,N,Unknown
USA,"Pacific Grove, Monterey County",Swimming,N,"White shark, 16'"
USA,"Myrtle Beach, Horry County",,N,Unknown
AUSTRALIA,Oyster Stacks near Exmouth12h15,Swimming,N,Unknown
AUSTRALIA,Yallingup,Surfing,N,"Bronze whaler shark, 2m"
AUSTRALIA,"Royal Perth Yacht Club, Swan River",Diving,N,Bull shark
BELIZE,Off San Pedro,Spearfishing,N,5' shark
MALDIVES,"Maafilaafushi Island, Lhaviyani Atoll ",Fishing,N,Unknown
FRENCH POLYNESIA,To'opua,,N,Unknown
USA,"Île de Saint Simon, Glynn County",Fishing,N,Atlantic blacktip shark
THAILAND,Kamala Beach,Playing in the water,N,1m shark
FRENCH POLYNESIA,"Pointe des pêcheurs, Punaahuia",,N,"Tiger shark, 2 to 2.5m"
USA,"Whale Harbor, Islamorada, Monroe County",,N,Unknown
USA,"Gulf Shores, Baldwin County",Swimming,N,Unknown
USA,"Higkand Beach, Palm Beach County",Standing,N,4' shark
USA,Tutle Back Zoo,Feeding sharks & stingrays,N,Epaulette shark
USA,Canaveral National Seashore,Kayaking,N,Unknown
SOUTH AFRICA,LaLucia,,M,Unknown
USA,"Lake Worth Beach, Palm Beach County",Fishing,N,Unknown
COLUMBIA,La Piscinita,Swimming,Y,Tiger shark
NEW ZEALAND,Cobden,Surfing,N,Unknown
AUSTRALIA,Crowdy Baay,Surfing,N,Bull shark
AUSTRALIA,Crowdy Baay,Swimming,N,Unknown
USA,"New Smyrna Beach, Volusia County",Surfing,N,Unknown
USA,"New Smyrna Beach, Volusia County",Fishing,N,"Blacktip shark, 5' to 6'"
AUSTRALIA,Maroubra,Surfing,N,Unknown
USA,"San Miguel Islandl, Santa Barbara County",Boogie boarding,Y,White shark
BAHAMAS,Tiger Beach,Diving,N,Unknown
AUSTRALIA,Redcliffe,Fihing,N,"Tiger shark, 3 m"
AUSTRALIA,"Buchan Point, Sydney",Swimming,Y,Unknown
MEXICO,Yavaros,Surface Supplied  Diving,Y,3m shark
USA,"Cocoa Beach, Brevard  County",Surfing,N,Unknown
COSTA RICA,Playa Del Coco,Diving,N,"Bull shark, 3m"
AUSTRALIA,"Beds, Wylie Bay, Esperance",Floating in inflatable pool ring,N,White shark
AUSTRALIA,Warriewood,Swimming,N,Wobbegong shark
AUSTRALIA,Whalers Beach,Snorkeling,N,Wobbegong shark
SOUTH AFRICA,"Off Beachbums, Tongaat",Fishing for sharks,N,Unknown
NEW ZEALAND,"Friendly Bay, Oamaru",Swimming,N,Sevengill shark
USA,"Anna Maria Island, Manatee County",Wing Foil Surfing,N,Blacktip or spinner shark
AUSTRALIA,"Hyams Beach, Jervis Bay",,N,Unknown
AUSTRALIA,North Lancelin,Surfing,N,Unknown
New Zealand,Pororari River,Swimming,N,Unknown
USA,"Anna Maria Island, Manatee County",Wing Foil Surfing,N,Blacktip or spinner shark
AUSTRALIA,Yarrabah,Spearfishing,N,Bull shark
MEXICO,Mahahual,Diving,N,Unknown
AUSTRALIA,Ocean Grove Beach,Swimmingq,N,Unknown
AUSTRALIA,Ocean Grove  Beach,Swimming,N,Unknown
USA,"Banyans, Kailua-Kona",Surfing,N,Blacktip reef shark
BRAZIL,Boqueirão Beach,Playing,N,dogfish
USA,"Lahaina, Maui",Spearfishing,N,Unknown
AUSTRALIA,"Port Beach, North Freemantle",Swimming,Y,Unknown
BRAZIL,Ubatuba Beach,Swimming,N,Unknown
NEW ZEALAND,Taranaki,Surfing,N,Broadnose seven gill shark
AUSTRALIA,Sudbury Island,Spearfishing,N,Unknown
AUSTRALIA,"Hook Island, Whitsundays",Swimming,N,Unknown
USA,"Fort Pierce State Park, St. Lucie County",Surfing,N,Unknown
USA,"Jensen Beach, Martin County",Swimming,N,Unknown
USA,"Salmon Creek Beach, Sonoma County",Surfing,N,Unknown
EGYPT,Sidi Abdel Rahmen ,Swimming,N,No shark invovlement
USA,"Ponce Inlet, Volusia County",Surfing,N,Unknown
