Country,Location,Activity,Fatal Y/N,Species
CROATIA,"Susak / Fiume (Rijeka, Istria)",Swimming,Y,Unknown
USA,50 miles offshore,"Fishing for bluefish, shark leapt into dory",N,4.6 m [15'] shark
SOLOMON ISLANDS,Makira Island,Fishing,Y,Unknown
AUSTRALIA,Off Port Broughton,,N,Unknown
PAPUA NEW GUINEA,"Dobu Passage,  D'Entrecasteaux Islands (between Normanby & Fergusson Islands)",,N,Unknown
SOUTH AFRICA,"North Pier, Durban",Put foot inside a landed & supposedly dead shark,N,"White shark, 246-kg"
AUSTRALIA,On edge of reef near Warrior Island,Pearl diving,N,1.8 m [6'] shark
AUSTRALIA,Coogee,"Disappeared 11 days earlier, probable homicide victim",N,Invalid
USA,"Hermosa Beach, Los Angeles County",,N,Unknown
AUSTRALIA,Barrier Reef off Mackay,Diving from dinghy for trochus shell,N,Unknown
SOUTH AFRICA,"North Pier, Durban",Put foot inside mouth of supposedly dead shark,N,Unknown
AUSTRALIA,Three Mile Reef off Lizard Island 50 miles north of Cooktown,"Pearl diving, but standing in the water",N,Tiger shark 3 m  [10']
AUSTRALIA,Pimpana River,Hauling in net with shark in it,N,"""Blue nose shark"""
AUSTRALIA,Newcastle,Surfing,N,Unknown
AUSTRALIA,Maroubra Beach,Swimming,Y,"White shark, 4 m [13']"
AUSTRALIA,North Narrabeen Beach,Standing,Y,"White shark, 3.5 m to 4 m [11.5' to 13']"
AUSTRALIA,Austinmer,Surfing (pneumatic surfboard),N,Unknown
AUSTRALIA,"Off Ben Buckler, near Sydney",Fishing,N,"Tiger shark, 12'"
AUSTRALIA,"Ross River, Townsville",Fishing for sharks,N,2 sharks
ISRAEL,Sidny Ali,,N,Shark involvement prior to death unconfirmed
AUSTRALIA,"Seaforth River, near MacKay",,N,Invalid
AUSTRALIA,George’s River at Kentucky,Splashing,N,"Tiger shark, 1.5 m [5']"
AUSTRALIA," St. George’s River at Moorebank, near Milperra Bridge",Swimming (lead swimmer in race),Y,Unknown
AUSTRALIA,Woy Woy  on the Brisbane Waters,Taken as he dived into the water,Y,Unknown
AUSTRALIA,Woy Woy on the Brisbane Waters,Swimming & splashing,N,Unknown
AUSTRALIA,"Redcliff, Cobourg Peninsula",Bathing,Y,Unknown
BERMUDA,Hamilton Parish,Fishing,N,Unknown
AUSTRALIA,Warrior Reefs,Freediving for trochus shell (submerged),Y,Unknown
BERMUDA,Nine miles off Frasconi Flats,Fishing,N,1.5 m [5'] shark
ITALY,Catania,Fishing on a boat,N,"White shark, 4 m [13']"
ITALY / CROATIA,Kralievica,Swimming,N,Invalid
AUSTRALIA,Off Eva Island 20 miles from Cardwell,Dived into sea from launch & bitten immediately,Y,Unknown
CROATIA,"Susak (Rijeka, Istria)",Swimming,Y,White shark
USA,"Thunderbolt, Chatham County",Swimming,N,Unknown
AUSTRALIA,Cronulla,Fishing,N,"Blue pointer, 11'"
AUSTRALIA,Off Mooloolabah,Fishing,N,"A 6.5' ""blue-nosed shark"""
USA,"Melbourne, Brevard County",Standing,Y,Unknown
AUSTRALIA,"Elephant Rock, Currumbin near Southport",Body surfing,N,Unknown
SOUTH AFRICA,"Granny’s Pool, Winkelspruit",Swimming,Y,Unknown
SOUTH AFRICA,"Danger Pool, Winkelspruit",Swimming ,N,Unknown
AUSTRALIA,North Steyne,Swimming in waist-deep water ,Y,4.3 m [14'] shark seen in vicinity
AUSTRALIA,"Dee Why, north of Queenscliff ",Swimming in hip-deep water,Y,4 m [13'] shark seen in vicinity
AUSTRALIA,Cronulla,Fishing ,N,"Mako shark, 3.7 m [12'] identified by tooth fragments by G.P. Whitley"
AUSTRALIA,Adolphus Channel,Splashing in water ,N,3.4 m [11']  tiger shark & a 5' shark
CHILE,Coquimbo,Fell into the water,Y,Unknown
TURKEY,"Haydarpasa jetty, Istanbul",Fishing,N,Unknown
AUSTRALIA,"Lambeth Street Wharf, George’s River, East Hills (20 miles from river mouth)",Swimming outside the safety enclosure attempting to retrieve a tennis ball drifting toward midstream ,N,Unknown
AUSTRALIA,Queenscliff,Swimming on sandbar adjacent to channel,N,4.3 m [14'] shark seen in area previous week
AUSTRALIA,Near Boydong Cay,Free diving for trochus ,Y,"Tiger shark, 3.4 m [11']"
AUSTRALIA,Near Barrow Point,Pearl diving,N,Tiger shark
AUSTRALIA,Off Bloomfield River,Diving,N,Unknown
ISRAEL,Nabi Rubin,Fishing,N,3 sharks
USA,"Hermosa Beach, Los Angeles County","Fishing, caught a 15' shark & took it onboard",N,"Blue shark, 4.5 m [14'9""]"
USA,"Pawley’s Island, north of Charleston",Bathing,N,Unknown
USA,Mystic River,Swimming,N,Unknown
USA,"San Diego, San Diego County",,N,Tiger shark
AUSTRALIA,Broome,Pearl diving,N,Unknown
USA,North end of Morris Island at mouth of Charleston Harbor,Sitting in 3' of water,N,Thought to involve a 2.4 m [8'] lemon shark; two 2.4 m lemon sharks caught within 100 yds of the site a week prior to & a week after this incident
USA,"Folly Island, near Charleston",Standing,N,Unknown
AUSTRALIA,Darwin,Fishing,N,Invalid
BARBADOS,Off Pelican Island,Yacht of Michael Howell capsized,Y,Unknown
AUSTRALIA,Off Stradbroke Island,Fishing,N,7' to 8' shark
AUSTRALIA,Currumbin,Treading water,N,Unknown
CUBA,"Off Jaimanitas Yacht Club, Havana",Swimming to shore from capsized sailboat,Y,Unknown
USA,"Miami Beach, Miami-Dade County",Swimming,Y,Possibly a bull shark or tiger shark
AUSTRALIA,Sydney,Standing on his hands,N,10' shark
AUSTRALIA,"Barrow Point, 100 miles north of Cooktown, Queensland",Diving for trochus  from dinghy when seized by shark 6' below the surface,N,4.4 m [14'] shark
AUSTRALIA,Adelaide,,N,Unknown
AUSTRALIA,"Port River, Adelaide",Fishing,N,Blue shark
AUSTRALIA,"Strand Beach, Kissing Point, Townsville",Swimming,Y,Unknown
AUSTRALIA,Arnhem Land,,N,Unknown
NEW ZEALAND,Mahurangi River Mouth,Fishing ,N,Unknown
AUSTRALIA,"Redhead Beach, Newcastle",Swimming,N,Thought to involve a mako or grey nurse shark
CAPE VERDE,São Vicente ,Swimming,Y,Unknown
FIJI,Navua,Catching a turtle,N,Unknown
AUSTRALIA,Bondi,,N,Unknown
AUSTRALIA,Newcastle,,N,Unknown
USA,"Offshore, between Mantoloking & Point Pleasant, Ocean County",Fishing,N,16' 800-lb shark
BAHAMAS,"Nassau, New Providence Island",On expedition filming a feature movie & standing on tripod,N,Unknown
USA,Galveston,,N,Shark involvement prior to death unconfirmed
CANADA,16 km west of Digby Gut,"Fishing, hauling in fishing gear",N,Teeth in hull identified as those from a white shark 4.6 m [15'] in length
USA,"10 miles offshore from Sea Isle City, Cape May County",Fishing,N,"250-lb ""dog shark"""
USA,"Off Ocean City, Cape May County",Fishing,N,Unknown
FIJI,Nabukeru ,Free diving with goggles,Y,Unknown
AUSTRALIA,Near Warrior Reefs,Pearl diving,Y,Unknown
AUSTRALIA,Thursday Island,Pearl diving,N,Unknown
PHILIPPINES,Fort Mills,Standing,Y,Unknown
PHILIPPINES,Fort Mills,Standing,Y,Unknown
USA,"1 mile off Mala Wharf, Lahaina, Maui",Swimming,N,Unknown
AUSTRALIA,Calliope River,Fishing with dynamite,N,Unknown
PHILIPPINES,Fort Mills,Working near fish traps,Y,Unknown
AUSTRALIA,Ipswich,Swimming,N,A small shark
AUSTRALIA,Frankston,Fishing,UNKNOWN,Grey nurse shark
MEXICO,Descano Point,Fishing,Y,Unknown
SOUTH AFRICA,"Kowie River Mouth, Port Alfred",Collecting fish by lamplight in gully,N,"Raggedtooth shark, 1.2 m to 1.5 m [4' to 5']"
AUSTRALIA,Barrier Reef near Innisfail,Diving for trochus from lugger,N,4 m [13'] shark
JAMAICA,"East Beach, Kingston",Diving off wharf,Y,Unknown
USA,"Municipal Beach, West Palm Beach, Palm Beach County",Swimming,N,Unknown
USA,"Municipal Beach, West Palm Beach, Palm Beach County",Swimming ,N,"Hammerhead shark, 2.4 m [8'], according to lifeguard Sam Barrows"
USA,"Kahala, O'ahu",Fishing,N,Shark involvement prior to death unconfirmed
CUBA,"Vedado Baths, Miramar, Havana",Swimming,Y,Unknown
USA,"1 mile ESE of Navesink, Monmouth County",Fishing for bluefish,N,Unknown
CUBA,"Miramar subdivision, Havana",Swimming a quarter mile offshore,Y,Unknown
CUBA,"Miramar, Havana",Swimming ,Y,Unknown
USA,Off Brownsville,Swimming,N,Unknown
USA,"Sandy Hook (ocean side), Monmouth County",Swimming,N,Unknown
AUSTRALIA,Port Douglas,Fell overboard?,Y,Unknown
FIJI,Tamavua River,Swimming,N,small sharks
USA,"Sea Girt, Monmouth County",Swimming,N,Unknown
USA,"Pearl Harbor, O'ahu","Fishing, had just speared a ulua",N,Unknown
USA,"Pearl Harbor, O'ahu",Gaffing & attempting to bring onboard a harpooned shark,N,"Tiger shark, 3 m [10']"
USA,"Key West, Monroe County ",Crabbing,N,6' shark
AUSTRALIA,Kempsey,,N,"""a school of sharks"""
AUSTRALIA,"Ross River, Townsville",Fishing with a cast net,Y,Unknown
TURKEY,"Bakurköy, Istanbul",Fishing,N,Unknown
AUSTRALIA,Encounter Bay,"Fishing, hauling in net, shark in net",N,"1.8 m [6'] ""cocktail shark"
AUSTRALIA,Maroubra Beach,Swimming ,N,Shark involvement prior to death unconfirmed
AUSTRALIA,Near Thursday Island,,N,Unknown
AUSTRALIA,"Yeppoon, near Ross Creek",Swimming,N,1.5 m [5'] shark
TONGA,Niuafo'ou Island ,"Swimming, carrying tin can with mail to steamer",Y,Unknown
AUSTRALIA,"Homebush Bay, Parramatta River, Sydney",Swimming,N,Unknown
AUSTRALIA,"Sailor Bay, Middle Harbour, Sydney",Fell overboard,Y,Unknown
AUSTRALIA,Rosebud,Fishing,N,7 shark's teeth found embedded in the woodwork of the boat
AUSTRALIA,Parramata River,,Y,Unknown
AUSTRALIA,"St. Helena Island, Moreton Bay",Thrown into water from fishing dinghy,N,Unknown
AUSTRALIA,Geraldton,Fishing,N,Unknown
SPAIN,"El Escabonal, Tenerife ",Swimming,N,Unknown
USA,"Palm Beach Inlet, Palm Beach County",Swimming,N,Unknown
CUBA,"LaPlaya Beach / Vedado, Havana",Swimming,N,Unknown
USA,"Jensen Beach, Martin County",Swimming,N,Tiger shark
AUSTRALIA,Near Mabuiag Island,,Y,Unknown
USA,High Island,Swimming / floating,N,Unknown
TURKEY,Yeşilköy,Fishing,N,Unknown
COSTA RICA,Off Porto Limon,Air disaster,N,Shark involvement prior to death unconfirmed
SOUTH AFRICA,Bashee River,,N,Shark involvement prior to death unconfirmed
USA,70 miles off Tarpon Springs,Sponge diving,N,Unknown
AUSTRALIA,"Middle Brighton, Port Phillip",Diving off pier & treading water,Y,White shark 4.9 m [16']
AUSTRALIA,Onslow,Removing shark from a trap,N,Unknown
MEXICO,Panuco River Mouth,Fishing schooner Jose Luis foundered,Y,Unknown
SOUTH AFRICA,"Melkbaai, False Bay",Swimming,N,"White shark, 4.5 m [14'9""], identity confirmed by witness & tooth pattern"
MAURITIUS,Two miles from shore in Tamarind Bay,Swimming to shore after a squall  capsized their motorized shark fishing boat,Y,Unknown
SOUTH AFRICA,"North End Beach, Port Elizabeth",Swimming,Y,Unknown
AUSTRALIA,"White Bay, near Bald Rock Jetty, Sydney Harbor ",Diving by wharf,Y,Tiger shark
AUSTRALIA,Thursday Island,Diving,N,Unknown
AUSTRALIA,Collaroy,Bathing or body surfing ,N,"""a small shark"""
AUSTRALIA,Thursday Island,Pearl diving,N,Unknown
AUSTRALIA,Townsville,,Y,Unknown
KIRIBATI,Nikumaroro Island,"Sea Disaster, wreck of the  SS Norwich City",Y,Unknown
CUBA,Cienfuegos,Fishing,N,Unknown
AUSTRALIA,Near Badu Island,Pearl diving,N,Unknown
SPAIN,Nasareth Beach,Fishing ,N,Unknown
AUSTRALIA,"Ross River, Townsville",Fell from wharf into water & attacked immediately,Y,Unknown
USA,Fort Moultrie,Bathing,N,Unknown
MEXICO,Tampico,Swimming,N,Unknown
CAPE VERDE,Tarrafal,,N,Shark involvement prior to death unconfirmed
USA,"Fort Pierce, St Lucie County",Fishing,N,9-foot shark
AUSTRALIA,Great Barrier Reef,Diving for trepang,N,Unknown
AUSTRALIA,Great Barrier Reef,Diving for trochus,N,Unknown
AUSTRALIA,"Bribie Passage, Caloundra",Standing in knee-deep water,N,"Grey nurse shark, 4'"
AUSTRALIA,Badu Island,,Y,Unknown
AUSTRALIA,Badu Island,Swimming between boats,Y,Unknown
USA,"Sea Spray, Palm Beach",Swimming,N,Unknown
AUSTRALIA,Near Dauan Island,Bathing,Y,Unknown
AUSTRALIA,Ardrossan,Launching rowboat through the surf,N,"""a dog shark"""
AUSTRALIA,Ardrossan,Launching rowboat through the surf,N,"""a dog shark"""
AUSTRALIA,Maroubra Bay,Body surfing,Y,Unknown
AUSTRALIA,Glenelg,Canoeing,N,"Blue pointer, 12'"
AUSTRALIA,Bondi,Swimming,Y,Unknown
AUSTRALIA,"Alma Bay, Magnetic Island, Townsville",Swimming,Y,Unknown
NEW ZEALAND,"Miranda Head, Hauriki Gulf",Bathing,N,Unknown
AUSTRALIA,Bondi,Body surfing,Y,12' shark
TURKEY,San Stefano,Fishing boat,Y,Unknown
FIJI,Suva Harbor,Diving for coins thrown from ship S.S. Moeraki,Y,Unknown
AUSTRALIA,Sydney Harbor,Swimming,N,Invalid
AUSTRALIA,Ardrossan,"Wading, netting fish",N,"""a dog shark"""
USA,Indian River area,Fishing,N,9' shark
AUSTRALIA,"Garden Island, Sydney",,N,Unknown
USA,"Cape Canaveral, Brevard County",Hardhat diving ,N,Unknown
USA,"Seabright, Monmouth County",Fishing,N,"""Blue nose sharks"""
USA,"200 miles off Hampton Roads, Virginia, USA","Sea Disaster, sinking of the  SS Vestris",Y,Unknown
PANAMA,Taboga Island Bay,Swimming,Y,Moreno’s leg  & part of his swim suit found in 9' shark caught two hours after the attack. Identified as carcharhinid shark by L. Schultz & C. Limbaugh on photograph
USA,Corpus Christi,Fishing,N,Unknown
USA,Off shore,,N,7' shark
ITALY,Viareggio,Watercraft,N,"Species unknown, possibly a white shark"
USA,"Daytona Beach, Volusia County",Swimming,N,Unknown
AUSTRALIA,"Barrow Point, 100 miles north of Cooktown, Queensland",Fishing,N,Tiger shark
AUSTRALIA,Bondi,Treading water,N,Unknown
JAMAICA,"Coal wharf, Port Royal",Diving,Y,Unknown
AUSTRALIA,Graceville,Bathing,N,4' shark
AUSTRALIA,"Cooks Hill, Newcastle",Standing in waist-deep water,Y,Unknown
AUSTRALIA,"Near Barrow Point, Queensland",Pearl diving,Y,Unknown
AUSTRALIA,Deliverance Island,Retrieving meat from a cage in the water,Y,Unknown
USA,Off Florida coast,Jumped overboard and swimming,N,Shark involvement not confirmed
SOUTH AFRICA,"Salt Vlei, Port Alfred",,N,Unknown
SOUTH AFRICA,Kei River mouth,Body surfing,N,1.2 m [4'] shark
SOUTH AFRICA,Tugela River Mouth,Standing,N,Unknown
SOUTH AFRICA,Little Brak River,Swimming,Y,"White shark, 4.4 m [14.5'] ."
AUSTRALIA,"Bradleys Head, Sydney ",The steamer Tahiti collided with the ferry Greycliffe,Y,Unknown
BRAZIL,90 miles off Albrohos Island,Italian liner Principessa Mafalda sank,Y,Unknown
AUSTRALIA,"Kiah Creek, Eden",Riding horseback across the creek,N,Unknown
FIJI,a river,"Standing, collecting bananas",N,Unknown
AUSTRALIA,Bellambi Reef,,N,Unknown
PHILIPPINES,Bondoc Peninsula,Sea disaster,Y,Unknown
AUSTRALIA,Off Cairns,Walking,Y,Unknown
AUSTRALIA,Near Thursday Island,Diving,N,Unknown
AUSTRALIA,Near Thursday Island,Pearl diving,N,Unknown
AUSTRALIA,Mereweather Beach,Body surfing / treading water,N,Grey nurse shark?
NICARAGUA,"A shark was caught, its head severed from body and hung from the anchor davit onboard the U.S.S. Borie",Feeling the shark’s teeth,N,Unknown
AUSTRALIA,Brisbane River,Attempting to rescue drowning man,N,Unknown
NEW ZEALAND,"Menzies Bay, Banks Peninsula, ",Fishing,N,Mako shark
SOUTH AFRICA,Kidd’s Beach,Body surfing,N,"Raggedtooth shark, 1.5 m [5']"
USA,"Catalina Channel, Los Angeles County",Swimming,N,Unknown
AUSTRALIA,"Grey’s Point, Port Hacking",Swimming,Y,3.7 m [12'] shark
AUSTRALIA,15 miles up the Cataract River,Swimming,Y,Unknown
AUSTRALIA,Thursday Island,Pearl diving,N,Unknown
AUSTRALIA,Palm Island,Diving for trochus,Y,Unknown
AUSTRALIA,Near Thursday Island,Diving,N,Unknown
PAPUA NEW GUINEA,Roku Point,Jumped into the water,Y,Unknown
AUSTRALIA,Clarence River,Bathing,N,"Grey nurse shark, 4'"
BERMUDA,18 miles southwest of Bermuda ,British patrol boat 1250-ton HMS  Valerian foundered in a hurricane,N,Unknown
PAPUA NEW GUINEA,Near Port Moresby,Jumped out of canoe,Y,Unknown
USA,"Seaside, Ocean County",Swimming,Y,Unknown
ITALY,Varazze,Swimming,Y,Said to involve 6 to 7 m [20' to 23'] white shark
USA,20 miles off Seabright,Fishing,N,"""whiptail shark"" (thresher shark?)"
USA,"San Francisco Bay (or San Leandro Bay), near cannery, Alameda County",Swimming with dog near canning factory,N,1.5 m [5'] white shark or sevengill shark
SPAIN,"Casa Antunez Beach, Barcelona",Bathing,N,"Questionable, 2m shark suspected"
USA,"Hale'iwa, O'ahu",Swimming,Y,"White shark, 3.8 m [12.5']"
SOUTH ATLANTIC OCEAN,Steamship bound from Cape Town to Philadelphia,Fell overboard from SS Ripley Castle,N,Unknown
USA,"Hilo Bay Yacht Club, Hilo, Hawai'i",Swimming,N,"According to Carlsmith, the shark's mouth was 3' wide"
AUSTRALIA,"West Beach, Brighton",Swimming ,Y,"White shark, 3.7 m [12']"
SOUTH AFRICA,Hamburg,Swimming,N,"""a blue shark"""
NEW ZEALAND,Rarotonga,Shark hoisted on board liner Tahiti,N,Unknown
SINGAPORE,Sea View Beach,Dived onto shark from floating stage,Y,Unknown
SOUTH AFRICA,Mossel Bay,Swimming to mail boat,UNKNOWN,Unknown
AUSTRALIA,Cottesloe Beach,Floating on his back,Y,"Tiger shark, 4 m [13'] female"
USA,"Condado Beach, San Juan",,N,Unknown
USA,"Condado Beach, San Juan",,N,Unknown
SPAIN,Valencia,Fishing,N,Unknown
ENGLAND,Off Shanklin,Fishing,N,Unknown
USA,"Folly Island, near Charleston",Swimming,N,Unknown
AUSTRALIA,"Princess Royal Harbor, near King George’s Sound",,N,Shark involvement prior to death unconfirmed
USA,"Condado Beach, San Juan",,N,Unknown
AUSTRALIA,Coogee,Bathing in waist-deep water,N,Said to be a “small shark”
AUSTRALIA,Newcastle Beach,Swimming,Y,Unknown
PAPUA NEW GUINEA,Hula,Swimming,Y,Unknown
USA,"Miami Beach, Miami-Dade County",Swimming,N,Unknown
CANADA,Second Narrows in Burrard Inlet,"Diving, repairing water main at depth of 90'",N,2.1 m [7'] shark
FIJI,"Suva Harbor, Suva",Diving for coins tossed from passenger ship,N,Unknown
MEXICO,Tampico,The Ward liner Esperanza stranded during a gale & she leapt overboard to rescue her dog which had been swept overboard.,Y,1.8 m shark
PANAMA,Pacific Anchorage off the Panama Canal,"Inebriated, woke from sleep and fell off deck into the water ",N,Unknown
USA,Santurce,Bathing,Y,Unknown
FRENCH POLYNESIA,Rangiroa,Pearl diving,N,Unknown
AUSTRALIA,Port Melbourne,Bathing,N,10' shark
USA,"Folly Island, near Charleston",Standing,N,"Mako shark, 1.9 m [6.5']. Tooth fragment recovered & identified by J.T. Nichols."
ENGLAND,Weymouth,Fishing for mackerel,N,12' shark
USA,"Newport Beach, Orange County",Fishing,N,Unknown
USA,"Bayboro, Pinellas County",Removing shark from a net,N,Unknown
AUSTRALIA,Kiama,"Fishing, fell in water & swimming strongly to shore",Y,Unknown
AUSTRALIA,Fremantle,Swimming ,N,Questionable
SOLOMON ISLANDS,Savo Island,Swimming,N,Unknown
SPAIN,Sisargas Islands,Fishing,N,3.5 m shark
AUSTRALIA,Bronte,Bathing in 5' of water,N,Unknown
AUSTRALIA,Currumbin,Bathing,N,Shark involvement prior to death unconfirmed
SOUTH AFRICA,"South Beach, Durban",Swimming,Y,Unknown
SOUTH AFRICA,"St. George’s Strand, Port Elizabeth",Swimming,N,Unknown
AUSTRALIA,"Near Asbestos Works, Camellia, Parramatta River",Had just dived into water & was swimming,Y,3 m [10'] shark
AUSTRALIA,"Murwillumbah, Tweed River",Swimming,N,Unknown
AUSTRALIA,"Urunga, Belliger Heads","Fishing, standing in waist-deep water",Y,Unknown
AUSTRALIA,"Condon, 88 km NE of Port Hedland",Dry shelling,Y,Unknown
AUSTRALIA,Bellinger Head,Fishing,N,Shark involvement suspected but not confirmed
AUSTRALIA,"Botany Bay, Sydney",Sailing,N,Shark involvement prior to death unconfirmed
AUSTRALIA," Black Head, south of Taree",Fishing,N,"""a very large shark"""
AUSTRALIA,Near Thursday Island,Pearl diving,N,Unknown
GUYANA,Off the Demerara River ,Fishing,N,Unknown
AUSTRALIA,Great Barrier Reef,Diving for pearl,N,Unknown
AUSTRALIA,Bellambi Reef,"After rowing skiff was holed by shark, he was attempting to swim ashore",Y,Unknown
MEXICO,Outside Vera Cruz Harbor,Dismantling cable buoys of the cable ship All America,N,Unknown
AUSTRALIA,"Southgates, near Geraldton",Wading,N,Unknown
AUSTRALIA,Great Barrier Reef,Diving?,Y,Unknown
AUSTRALIA,"Ross River, Townsville",Diving,N,Unknown
USA,San Juan,Swimming ,N,Unknown
AUSTRALIA,Bunbury,,N,Shark involvement prior to death was not confirmed
AUSTRALIA,"In Swan River at Freshwater Bay, Claremont, 5 miles from river mouth",Swimming,Y,Unknown
CUBA,20 miles from Havana,seaplane Columbus ditched in the sea,N,"Atkins' remains were recovered from a dusky shark, C. obscurus, by Capt. W. F. Young, shark fisherman"
USA,"Sea Bright, Monmouth County",Fishing,N,Unknown
PHILIPPINES,Fort Drum,,Y,Unknown
USA,Ocean City (offshore),Hoisting shark aboard fishing boat,N,Unknown
USA,Ocean City (offshore),Hoisting shark aboard fishing boat,N,Unknown
USA,San Juan,Bathing,Y,Unknown
AUSTRALIA,Pialba Beach near Maryborough,Bathing in 3' to 4' of water,Y,"2.7 m [9'] ""blue"" shark"
BARBADOS,Pie Corner,Fishing,Y,Unknown
AUSTRALIA,"Botany Bay, Sydney",Sailing,N,Shark involvement prior to death unconfirmed
USA,"Keawanui, Kamalo, Moloka'i","Freediving, inspecting Kaunakakai wharf construction after blasting & dredging ",N,Unknown
ENGLAND,Hornsea,Swimming ,Y,Unknown
USA,Nahant,Fishing,N,"""A pack of 6 sharks"""
USA,"Pablo Beach, Jacksonville, Duval County",,N,Unknown
USA,"Municipal Pier, St. Petersburg, Tampa bay",Floating,Y,1.8 m [6'] shark
JAMAICA,Savanna-la-Mar,Swimming,Y,6' shark
SOUTH AFRICA,"Simon’s Town, False Bay",Swimming,N,"White shark, 12', identity confirmed by tooth fragment, witness and photograph of captured shark"
AUSTRALIA,Hawkesbury River,Swimming,Y,Unknown
JAMAICA,Kingston Harbor,Fishing,N,Unknown
JAMAICA,Kingston Harbor,Standing,Y,2.7 m [9'] shark later captured by Mitchell-Hedges
AUSTRALIA,Coogee,Bathing in knee-deep water,Y,"White shark, 2.4 m [8']"
AUSTRALIA,"Bilgola Beach, Sydney",Swimming,N,Shark involvement prior to death unconfirmed
AUSTRALIA,Coogee ,Swimming,Y,White shark
IRAQ,Shatt-al Arab River,Bathing,Y,Unknown
AUSTRALIA,"Ross River, Townsville",Swimming ,Y,Unknown
AUSTRALIA,"Stockton Beach, Newcastle",Standing,N,Grey nurse shark?
AUSTRALIA,"Stockton Beach, Newcastle",Surfing,Y,Unknown
AUSTRALIA,Fitzroy River at  Rockhampton,Swimming,N,Unknown
AUSTRALIA,"Gay’s Corner, Bulimba Reach of Brisbane River",Fell from his father's back into the water,Y,Unknown
AUSTRALIA,"Gay’s Corner, Bulimba Reach of Brisbane River","Wading to dinghy, carrying his son",N,Unknown
FIJI,Rewa River,Swimming,Y,Unknown
AUSTRALIA,Off Hinchinbrook Island,Diving for beche-de-mer ,N,Unknown
AUSTRALIA,Barrier Reef,Diving for beche-de-mer,Y,Unknown
ENGLAND,Weymouth,Fishing,N,"Blue shark, 4'"
PHILIPPINES,"Fort Frank, Manila Bay",Swimming,Y,Unknown
CUBA,Havana Harbor,Fell overboard,Y,Unknown
AUSTRALIA,Bunbury,Wading,N,4' to 5' shark
HAITI,Marine Dock,Dived into a school of baitfish,Y,Comrades saw shark's tail appear about 5' away
AUSTRALIA,Cottesloe Beach,Standing,N,"15* to 24"" dog shark"
USA,"Woodcliff Channel, Freeport, Long Island",Swimming ,N,Questionable
AUSTRALIA,200 miles from MacKay,Diving for trochus shell,N,Unknown
USA,"Englewood Beach, Charlotte County",Swimming ,N,Unknown
CANADA,"Slaunwhite's Ledge, Hubbard Cove",Harpooned shark,N,15'
AUSTRALIA,"Between Bay Rock & Magnetic Island, Cleveland Bay","Boat capsized, swimming to shore",N,Unknown
SOUTH AFRICA,Zwartkops River,Floating face down,N,Unknown
AUSTRALIA,Arlington Reef,Free diving,Y,Unknown
AUSTRALIA,"Throsby Creek, Newcastle",Swimming ,Y,Unknown
JAMAICA,Savanna-la-Mar,Jumped overboard,Y,Unknown
NEW ZEALAND,"Stanley Bay, Auckland Harbor",,N,Unknown
SOUTH AFRICA,Tugela River,Splashing,N,Unknown
AUSTRALIA,Brible Island,Swimming,N,Unknown
AUSTRALIA,"Pelican Island, Macleay River",Swimming,Y,Unknown
AUSTRALIA,Darwin,Sitting in a boat,N,Unknown
COSTA RICA,Where Colorado River enters the sea,Small vessel with 13 men on board capsized crossing the bar and 6 men drowned.  The 7 survivors were swimming to shore,Y,Unknown
USA,"Gadsden Point, Tampa Bay",Swimming,N,Unknown
USA,"James Island Sound, Charleston","""Swimming vigorously""",N,Unknown
USA,"Florida Keys 25ºN,82ºW",Knocked into the water,Y,"3.7 m [12'], 1200-lb shark. Shark caught & its jaw exhibited at the Carnegie Museum"
AUSTRALIA,Sydney Harbor,Cutter capsized,UNKNOWN,Shark involvement prior to death unconfirmed
AUSTRALIA,Newcastle Beach,Swimming,N,3.7 m to 4.3 m [12' to 14']  shark
NEW ZEALAND,"Tahuna Beach, Nelson",Swimming,N,Unknown
AUSTRALIA,"Sirius Cove, Sydney Harbor",Wading,Y,12' shark
AUSTRALIA,"Ross River, Townsville",Wading (shrimping),Y,Unknown
ITALY,Savona,Fishing,N,13' shark
USA,"Near Panama City, Bay County",Swimming,N,Unknown
USA,Papaikou plantation ,Fishing,Y,Unknown
SAN DOMINGO,Muchoir Banks,Steamer Una wrecked with 75 laborers onboard. Survivors took to rafts & lifeboats.,Y,"Tiger sharks, 2.4 m to 4.9 m [8' to 16']"
AUSTRALIA,Townsville,Bathing,Y,Unknown
AUSTRALIA,Newcastle,Surfing,N,12' shark
AUSTRALIA,Near Cairns,Diving,N,Unknown
AUSTRALIA,Port Hedland,Swimming,N,Unknown
MOZAMBIQUE,Off Inhaca Island,Wreck of the tug Magellan,Y,Unknown
USA,"Sea Bright, Monmouth County","Swimming, towing an empty barrel",N,Unknown
USA,"Nanakuli, Oah’u",Stuffing a shark into an automobile,N,12' shark
USA,Florida Keys ,Diving,Y,Unknown
IRELAND,82 miles from Fastnet,Ship Mariston torpedoed & sunk,Y,Unknown
USA,Calibogue Sound,Swimming beside launch,N,Unknown
PHILIPPINES,Canacao Bay,Swimming,Y,Unknown
LIBYA,Tripoli,Diving for sponges,N,Unknown
AUSTRALIA,"Yeppoon, near Ross Creek",Bathing,N,Unknown
AUSTRALIA,"Seven Shillings Beach, Middle Harbor, Sydney (Estuary)",Taking wife to beach & about 1 m from the shore,Y,Unknown
