Country,Location,Activity,Fatal Y/N,Species,Latitude,Longitude
SOUTH AFRICA,Mdloti,Spearfishing,N,1.3m shark,-29.5867961,30.9694777
SOUTH AFRICA,Chintsa,Body boarding,Y,White shark,-32.8250438,28.1022344
USA,"Key Biscayne, Miami-Dade County",Swimming,N,Unknown,25.6968351,-80.1635261
AUSTRALIA,Near Coral Bay,Spearfishing,N,"Whaler or bull shark, 2m",-23.1434624,113.7728871
FRENCH POLYNESIA,Ua Pou,Swimming,N,Unknown,-9.4010769,-140.080027
USA,Indian River County,,N,3' to 5' shark,27.7041555,-80.5894422
USA,"Fort Lauderdale, Broward County",Swimming,N,,26.1223084,-80.1433786
USA,"Miami Beach, Miami-Dade County",Body surfing,N,Unknown,25.7929198,-80.1353006
NEW CALEDONIA,Ouvéa,Spearfishing,N,Tiger shark,-20.5490007,166.5673946
NEW CALEDONIA,I'îot Maître,Swimming,Y,"Tiger shark, 4 m",-21.5,165.5
AUSTRALIA,Waterford West,Fishing,N,"Bull shark, 80cm",-27.6910154,153.125553
USA,"Waiokapua Bay, Kaui",Surfing,N,Unknown,19.64372,-155.005553
AUSTRALIA,Gleneg,Surf skiing ,N,Bronze whaler shark,-25.0,135.0
USA,Ukumehama ,Kayaking,N,White shark,39.76,-98.5
AUSTRALIA,"Melaleuca Beach, Cowaramup Bay, Gracetown, ",Swimming,N,Unknown,-25.0,135.0
NEW ZEALAND,"Papamoa Beach, Bay of Plenty",Swimming,N,Juvenile shark,-37.699089,176.2829736
AUSTRALIA,Lake Macquarie,Swimming,N,,-33.0657425,151.6109869
USA,Off Tampa Bay,Fishing,N,White shark,27.76503,-82.58253
USA,Maui,Snorkeling,N,"8"" shark",20.8029568,-156.3106833
AUSTRALIA,Port MacDonnell,Snorkeling,Y,White shark,-38.0518869,140.7004059
BRAZIL,Cacimba do Padre Beach,Surfing,N,Unknown,-10.0,-55.0
AUSTRALIA,Blackwall Reach,Swimming,N,"Bull shark, 6.5 to 10 '",-32.0219502,115.7796522
AUSTRALIA,13th Beach,Swimming,N,Unknown,-38.2752628,144.4560557
ST KITTS / NEVIS,Booby Island,Swimming / Kayaking,N,Unknown,46.96524,-94.83946
NEW ZEALAND,"Waihī  Beach, Bay of Plenty",Swimming,Y,Unknown,-37.4117888,175.943247
USA,"Anaehoomalu Bay
Waikoloa, Hawaii County",Swimming,N,Unknown,19.93942,-155.78931
USA,"Coronado, San Diego County",Swimming,N,White shark,32.6915199,-117.1766947
MALDIVES,Faadoo Island,Fell off fishing boat,N,Unknown,3.2,73.0
ST MARTIN,Orient Beach,Swimming,Y,Tiger shark,18.08985,-63.02178
AUSTRALIA,Cable Beach,Surfing,N,Unknown,-17.9328115,122.2136937
USA,Honolua Bay,Surfing,Y,"Tiger shark. 14'3""",21.0158672,-156.6414705
USA,"Seaside Cove, Clatsop County",Surfing,N,Unknown,46.01747,-123.71677
AUSTRALIA,D’Estrees Bay near Kangaroo Island,Surfing,N,White shark,-35.8239,137.33392
EGYPT,Marsa Alam,Scuba diving,N,Oceanic whitetip shark,25.069992,34.893817
NEW CALEDONIA,St. Vincent Bay,Snorkeling,N,"Tiger shark, 4m",-21.5,165.5
AUSTRALIA,"Town Beach, Port Macquarie",Surfing,N,Unknown,-31.428344,152.9180151
USA,Ormond Beach,Swimming,N,"Blacktip shark, 6' to 7'",29.2854132,-81.0557921
BAHAMAS,East End Point,Spearfishing,N,"""Reef shark""",25.0325801,-77.2596362
USA,St George Island,Surfing,N,Unknown,56.5736571,-169.5834601
EGYPT,"Shark Reef, Ras Muhammed",Snorkeling,N,Unknown,27.73251,34.25903
AUSTRALIA,Britomart Reef,Spearfishing,N,Unknown,-18.25,146.66667
USA,"Emerald Isle, Carteret County",Surfing,N,Shark involvement not confirmed,34.6653135,-77.0382187
AUSTRALIA,Kelp Beds Beach (Kelpies),Surfing,Y,4m shark,-33.27443,151.54614
AUSTRALIA,"Toms Surf break, Hamersley Pool, North Beach, Perth",Surfing,N,Bronze whaler 1.5m,-31.95224,115.8614
USA,Near Key Largo,,N,Small nurse shark,25.08652,-80.44728
USA,"Charley Young Beach, Maui",Swimming,N,Injuries not caused by a shark,20.7247791,-156.4491481
USA,"Sombero Key Light, Monroe County",Snorkeling,N,Bull shark,43.16512,-77.63626
AUSTRALIA,Fraser Island,Fishing,N,"""whitetip shark""",-25.24672,153.1468044
AUSTRALIA,Cabarita Beach,Foil-boarding,N,White shark,-28.3309421,153.5701894
USA,"Melbourne Beach, Brevard County",Surfing,N,Unknown,28.0684067,-80.5607951
AUSTRALIA,"Greenmount Beach, Coolangatta",Surfing,Y,"White shark, 3m",-28.1659065,153.5421183
USA,Puako,Snorkeling,N,8' shark,19.970122,-155.839005
AUSTRALIA,Forster,Fishing / Filming sharks feeding on whale carcass,N,White shark,-32.1820852,152.5131155
USA,"Folly Beach, Charleston County",Surfing,N,Unknown,32.6554848,-79.9407802
USA,"Shelter Cove, Humboldt County",Kayak fishing,N,White shark,40.0304212,-124.0730866
USA,"St. Augustine Beach, Anastasia Island, St. Johns County",Surfing,N,4' to 5' shark,29.8454452,-81.2773973
AUSTRALIA,"Shelly Beach, Port Macquarie",Surfing,N,"White shark, 2-to 3m",-31.4550749,152.9319421
USA,"Off Gasparilla Island, Charlotte County",Fishing,N,"Blacktip shark, 6'",26.89985,-81.95031
USA,"Candle Reef, St. Croix",Snorkeling,N,"Nurse shark, 5'",45.03407,-92.45278
USA,"Surf City, Pender County",Surfing,N,Unknown,34.4271121,-77.5460805
USA,"Orange Beach, Baldwin County",Swimming,N,Blacktip or Spinner shark,30.2943681,-87.5735935
AUSTRALIA,Bunker Bay Beach,Surfing,N,"White shark, 4m",-33.5435747,115.0338627
USA,Florida Keys,Diving,N,"Lemon shark, 8'",24.6736205,-81.4981792
AUSTRALIA,Tenth Island,Sightseeing,N,"White shark, 4m",-40.9422322,146.9849504
FRENCH POLYNESIA,Tikehau,Swimming,N,"Blacktip reef shark, juvenile",-15.0051137,-148.2270645
USA,"Bailey Island, Cumberland County",Swimming,Y,"White shark, 11'?",43.7335621,-69.9943499
USA,Spanish Cay,Spearfishing,N,"Reef shark, 5' to 6 '",28.3072703,-80.6815512
USA,"Neuse River, Craven County",Treading water,N,Bull shark. 6.5',34.9781696,-76.9474586
AUSTRALIA,Off Stanley,Fishing,N,White shark,-33.8309295,138.8000196
AUSTRALIA,Fitzroy Island,Snorkeling,N,2 m shark,-16.9312865,145.9945627
AUSTRALIA,Wilsons Headland,Surfing,Y,"White shark, 2.5 m",-29.8256695,153.2899326
USA,"Homestead, Miami-Dade County",Playing,N,Juvenile bull shark?,25.4718946,-80.4759905
USA,"Salvo, Dare County",Body Surfing,N,Unknown,35.54018,-75.4729347
BAHAMAS,"Pig Beach, Pig Island",,N,Unknown,25.04082,-77.37122
SOUTH AFRICA,Umhlanga Rocks,Surf skiing ,N,Unknown,-29.73,31.0827778
NEW CALEDONIA,"Plateau de Ricaudy, Nouméa",Windsurfing,Y,Tiger shark,-22.27631,166.4572
AUSTRALIA,Salt Beach near Kingscliff,Surfing,Y,"White shark, 3.5 m",-28.25983,153.57816
AUSTRALIA,"Tantabitti Beach, Nigaloo",,N,Unknown,-25.0,135.0
USA,"Herring Point, Sussex County",Skimboarding,N,Shark involvement unconfirmed but considered probable,38.7659981,-75.0847354
USA,"Davidsons Beach, Kauai",Surfing,N,Tiger shark?,20.927488,-156.366755
BAHAMAS,NoName Cay,Spearfishing,N,"Bull shark, 8'",26.75,-77.28333
AUSTRALIA,Lucinda,Spearfishing,N,Bull shark,-18.532484,146.3372932
THAILAND,Chebilang pier ,Playing,N,Bull shark,15.5,101.0
SPAIN,"Famara Beach, Lanzarote",Playing,N,Angel shark,29.01,-13.641
FRENCH POLYNESIA,Vallée Blanche,Snorkeling,N,Blacktip shark,-15.0,-140.0
USA,"Sand Dollar Beach, Santa Cruz County",Surfing,Y,White shark,36.9238559,-121.8518971
AUSTRALIA,"Southside Beach, near Geelong",Surfing,N,Unknown,-38.14711,144.36069
USA,"Summerland, Santa Barbara County",Swimming,N,5' to 6' shark,34.4213845,-119.5965173
USA,"Moonlight Beach, San Diego County",Body Boarding,N,Unknown,33.048299,-117.2951295
AUSTRALIA,North West Island,Swimming,Y,Unknown,-20.3654855,115.5289645
AUSTRALIA,Wamberal Beach,Surfing,N,6' shark,-33.430832,151.4474949
USA,"Pleasure Point, Santa Cruz County",Stand-Up Paddleboarding,N,Unknown,36.96569,-121.9649818
AUSTRALIA,Cairns,,N,Unknown,-16.9206657,145.7721854
NEW ZEALAND,"Stanmore Bay, Auckland",Kayak fishing,N,"White shark, 2.5 to 3 m",-36.6273281,174.7372035
FIJI,"Tawake, Cakaudrove",Spearfishing,N,Unknown,-16.164411,-179.9957
NEW ZEALAND,Pauanui Beach,Surfing,N,White shark,-37.0242711,175.8648118
USA,Wailea,Stand-Up Paddle boarding,N,Tiger shark,20.6871749,-156.4390415
FRENCH POLYNESIA,Ua Huka,Canoeing,N,Unknown,-8.9096629,-139.5515236
AUSTRALIA,Windang Beach,Surfing,N,"""A small shark""",-34.5368346,150.8715881
NEW ZEALAND,Oreti Beach,Surfing,N,Broadnose seven gill shark?,-46.4213005,168.2195689
USA,"Rodanthe, Dare County",Surfing,N,Unknown,35.5934472,-75.4678084
THAILAND,Nang Thong Beach,Swimming,N,Unknown,8.648986,98.2462864
AUSTRALIA,Cull Island / Esperance,Scuba diving,Y,White shark,-33.86013,121.88259
NEW CALEDONIA,Calana,,N,Unknown,-21.5,165.5
AUSTRALIA,Esperance,Swimming after being swept off rocks,Y,Unknown,-33.858228,121.8931606
SEYCHELLES,Amitié Beach,Swimming,N,Unknown,-4.3246775,55.6995921
PAPUA NEW GUINEA,Ragelapara reef ,Spearfishing,Y,Unknown,-6.0,147.0
SOUTH AFRICA,"Nahoon Beach, East London",Surf skiing ,N,Unknown,-32.9836698,27.9255609
USA,"Santa Rosa Island, Ventura County",Surfing,N,Unknown,34.1718134,-119.0341745
AUSTRALIA,Shellharbour,Fishing,N,White shark,-34.5864737,150.7693336
AUSTRALIA,Exmouth,Free diving,N,Unknown,-21.9324401,114.1258094
CUBA,Guardalavaca Beach ,Swimming,Y,Unknown,20.8862423,-76.2440856
USA,"Cove Park, Kihei, Maui",Stand-Up Paddleboarding,N,10'-12' tiger shark,20.7277893,-156.4497315
AUSTRALIA,Bargara,Snorkeling,N,Unknown,-24.8154799,152.4630414
AUSTRALIA,"Elliot Head, near Bundaberg.",Spearfishing,F,Unknown,-24.86621,152.3479
MEXICO,Off Barra Vieja,Fishing,N,Unknown,16.69139,-99.62667
ISRAEL,Haifa,Snorkeling,N,Unknown,32.8191218,34.9983856
FRENCH POLYNESIA,Afareitu Lagoonarium.,Feeding sharks,N,5' blacktip shark,-15.0,-140.0
MEXICO,Magdalena Bay,Snorkeling,N,Unknown,24.6249712,-111.9736021
SOUTH AFRICA,East London,Kayaking fishing,N,"White shark, 4 m",-33.0191604,27.8998573
USA,"San Onofre, San Diego County ",Surfing,N,Juvenile white shark?,33.3803575,-117.5736037
REUNION ISLAND,L’Hermitage Lagoon,Snorkeling,Y,10' tiger shark,65.0,-18.0
AUSTRALIA,"Off Airlie Beach, Whitsundays",Snorkeling,N,Tiger shark,-20.2832261,148.6852219
USA,"Cambria, San Luis Obispo County",Kayak fishing,N,White shark,35.5641425,-121.081106
FRENCH POLYNESIA,Opunohu Bay,Snorkeling,N,Oceanic whitetip shark,-17.5031069,-149.8565782
AUSTRALIA,"Woorim Beach, Bribie Island,",Surfing,N,7' shark,-26.95056,153.12418
AUSTRALIA,Lighthouse Beach,Surfing,N,"White shark, 3.5 m",-31.5333657,152.8726598
USA,Talofofo Bay ,Surfing,N,Juvenile shark,13.3375318,144.7669229
AUSTRALIA,"Nightcliff Jetty, Darwin",Fishing,N,1+ m shark,-12.3789255,130.8419401
USA,"Kihei, South Maui",Surfing,N,6' to 7' shark,20.739731,-156.454229
USA,"Huguenot Park, Jacksonville, Duval County",Swimming,N,Unknown,30.2730195,-81.3878613
USA,"Isle of Palms,  Charleston County",,N,Unknown,32.7867697,-79.7880359
AUSTRALIA,"Burns Beach, Perth",Spearfishing,N,14' white shark,-31.95224,115.8614
USA,Grand Cayman,Spearfishing,N,Nurse shark,30.4147075,-81.5224167
USA,"Jacksonville Beach, Duval County",,N,Unknown,30.2946859,-81.3931396
USA,"Napoopoo Park in Kealakekua Bay, The Big Island",Swimming/ Treading water,N,Unknown,36.998417,-76.376682
FIJI,reef 40km east Vanua Levu,Spearfishing,N,Grey reef shark 1.5m,-16.55,179.25
USA,"Makaha Beach, Oahu",Surfing,N,10' to 12' shark,38.882352,-105.937359
USA,Off Key Biscayne,Spearfishing / Diving,N,Unknown,25.69371,-80.16282
USA,Molokai Channel/,Swimming,N,Cookiecutter shark,47.371424,-120.19872
USA,"Off Cape Hatteras, Dare County",Fishing ,N,"Blacktip shark, 5'",35.22462,-75.53015
AUSTRALIA,Magra Islet,Snorkeling,N,Unknown,-11.85764,143.28157
USA,"Moonstone Beach, South Kingstown, Washington County",Surfing,N,Sandtiger shark,41.3865725,-71.5742685
USA,"Haulover Inlet, Miami-Dade County",Diving,N,Unknown,25.60897,-80.49867
NEW ZEALAND,Pitt Island or Chatham Island,Scuba diving,N,"White shark, 3m",-44.0,-176.5
USA,"Sunset Beach, Brunswick County",Body-surfing,N,shark pup,33.880728,-78.512231
USA,"Amelia Island, Nassau County",Boogie boarding,N,Unknown,30.6077379,-81.4600909
SOUTH AFRICA,"East Beach, Port Alfred",Surfing,N,"White shark, juvenile",-33.6011399,26.9010924
AUSTRALIA,"Pelican Waters, Caloundra",Paddle boarding,N,Bull shark pup,-26.8061548,153.115217
MEXICO,Cabo Catoche ,Fishing,N,Unknown,25.6471809,-100.2715571
BAHAMAS,Great Guana Cay,Snorkeling,N,Unknown,26.6784722,-77.1284836
BAHAMAS,Rose Island,Snorkeling,Y,Unknown,25.1050659,-77.155289
USA,"Bald Head Island, Brunswick County",Swimming,N,Unknown,33.8618933,-77.995528
BAHAMAS,Wells Cay,Snorkeling,N,Unknown,24.3870602,-76.6217314
USA,"Wilmington River, Chatham County",Swimming,N,"Bull shark, 4' to 5'",31.9522524,-80.9997138
AUSTRALIA,Maatsuyker Island ,Abalone diving,N,Unknown,-43.6532928,146.2759603
AUSTRALIA,Lennox Head,Surfing,N,Unknown,-28.7910334,153.5878047
USA,"Fort Macon State Beach, Carteret County",Standing,N,Unknown,34.6987266,-76.6923614
NEW CALEDONIA,Cook Reef,Fishing,Y,Unknown,-21.5,165.5
USA,"Honokowai Point, Maui",Swimming,Y,Unknown,20.9481316,-156.6919043
NEW CALEDONIA,Port South Marina,Swimming,N,"Bull shark, 3.5 m",-21.5,165.5
USA,"Ship Bottom, Ocean County",Body Boarding,N,Shark involvement unconfirmed but considered probable,39.6496005,-74.1757169
FIJI,Beqa,Scuba diving,N,"Tiger shark, 4m to 5m",-18.3911869,178.1228519
USA,"Browns, Oahu",Surfing,N,8' shark,38.882352,-105.937359
AUSTRALIA,Yandaran Beach,Body Surfing,N,Unknown,-33.27443,151.54614
REUNION ISLAND, Saint Leu,Surfing,Y,Unknown,65.0,-18.0
USA,O'ahu,Swimming with sharks,N,Unknown,21.5790221,-158.2496212
USA,"North Salmon Creek Beach, Sonoma County",Surfing,N,White shark,38.35714,-123.06778
BRAZIL,Praia de Porto,Fishing,N,Lemon shark pup,-22.9552574,-43.1647152
USA,"Off Boca Grande, Lee County",Fishing,N,Unknown,26.74896,-82.26204
AUSTRALIA,Tomaree,Spearfishing,N,"Grey nurse shark, 3 m female",-32.7165733,152.1870489
USA,"Anaehoomalu Bay, Hawaii",Kayaking,N,Tiger shark,20.24682,-155.829369
USA,"Crescent Beach, St Johns County",Boogie boarding,N,Unknown,29.738289,-81.2423048
USA,"North Koahala, Big Island",Picking opihi,N,Tiger shark,37.53375,-79.35975
USA,Kaiwi Channel,Swimming,N,Cookiecutter shark,21.2492405,-157.4708909
CHINA,"Laohutan Ocean Park Aquarium, Dalian City",Diving in shark tank,N,Sand tiger shark,38.91222,121.60222
USA,Waikoloa area,Paddling an outrigger canoe,N,12' shark,30.64316,-89.104942
AUSTRALIA,Line Reef,Swimming,N,"Grey reef shark, 4'",-19.6819271,149.1995612
USA,"Hobe Sound, Martin County",Surfing,N,4' shark,27.080492,-80.139918
MEXICO,Troncones,Swimming,N,Unknown,17.7801832,-101.7212243
USA,"Stuart Beach, Martin County",Boogie boarding,N,Spinner shark,27.2144994,-80.1748382
USA,"Cape Kiwanda, Tillamook County",Surfing,N,Unknown,45.2157839,-123.9695923
SOUTH AFRICA,30 nm off Port Elizabeth,Fishing,N,2.5 m shark,-33.91799,25.57007
USA,"Dog Beach, Huntington Beach",Surfing,N,6' to 7' shark,33.6731695,-118.0250951
AUSTRALIA,Belongil Bay,Surfing,N,Unknown,-28.6334406,153.5976647
BRAZIL,Cacimba do Padre,Surfing,N,Lemon shark,-3.8497515,-32.4389861
AUSTRALIA,Groote Eylandt,Spearfishing,N,"Reef shark,",-13.9805252,136.5868801
AUSTRALIA,Urunga area,Surfing,N,Unknown,-25.0,135.0
SOUTH AFRICA,Mtunzini,Fishing,N,Unknown,-28.9557332,31.7565591
USA,Key Biscayne,Spearfishing,N,Bull shark,25.6968351,-80.1635261
REUNION ISLAND,Sainte-Rose at the mouth of Riviere de l'Est,Fishing,Y,Unknown,65.0,-18.0
AUSTRALIA,North Cottesloe ,Swimming,N,Wobbegong shark,-31.9880531,115.7523045
AUSTRALIA,"Catseye Beach, Hamilton Island, Whitsundays",Wading,N,Reported as shark attacks but injuries caused by toadfish,-20.23184,148.95204
USA,"Sandspit Beach, Montaña de Oro State Park ",Surfing,N,"White shark, 4.6m",42.47941,-104.97025
MEXICO,Southeast of Puerto Peñasco ,Diving,Y,Tiger shark,31.31716,-113.53799
NEW ZEALAND,Matauri Bay,Spearfishing,N,"Mako shark, 7'",-35.0339202,173.9110995
NEW ZEALAND,Ti Point,Spearfishing,N,Bronze whaler 2.5m,-36.3161632,174.7875062
AUSTRALIA,Nambucca,Surfing,N,Unknown,-30.6135768,152.790599
AUSTRALIA,South Steyne,Surfing,N,Wobbegong shark,-33.7976783,151.2884217
AUSTRALIA,Off Nhulunbuy,Spearfishing,N,Reef shark x 2,-12.1941812,136.7655279
AUSTRALIA,"7 Mile Beach, Gerroa",Surfing,N,Unknown,-34.7683137,150.8140296
AUSTRALIA,Moffat Beach,Kayaking,N,"Tiger shark, 13'",-26.793456,153.1359714
SOUTH AFRICA,Tinley Manor,Fishing,N,"White shark, 3m",-29.4427078,31.2405409
AUSTRALIA,"Pyramids Beach, Mandurah",Body Boarding,N,Sandtiger shark,-32.6114746,115.6271384
BAHAMAS,Compass Cay,Swimming,N,Nurse shark,24.2707658,-76.5207851
AUSTRALIA,"Shelly Beach, Ballina",Surfing,N,5' shark,-28.8628884,153.5949
AUSTRALIA,"Cid Harbor, Whitsundays",Swimming,Y,Unknown,-20.24511,148.94836
EGYPT,Brothers' Island,Scuba diving,N,Oceanic whitetip shark,27.0,30.0
AUSTRALIA,"Guillotines surf break, Shire of Augusta Margaret River",Surfing,N,Unknown,-33.9733809,115.0874396
USA,Farallon Islands,Diving / Filming,N,"White shark, 17' female",37.7332634,-123.0344446
AUSTRALIA,Samurai Beach,Body Surfing,N,Bull shark?,-32.7634168,152.1265112
NEW ZEALAND,Baylys Beach ,Surfing,N,"White Shark, 3.2m to 3.5m",-35.9494945,173.7462766
AUSTRALIA,Two Rocks near Three Mile Reef,Spearfishing,N,"White shark, 5m female",-31.4827205,115.6443847
AUSTRALIA,Swain Reef,Fishing,N,"""reef shark""",-25.0,135.0
USA,"Beacons Beach, San Diego County",Diving,N,"White shark, 11'",33.0282,-116.77021
USA,Humboldt County,Fishing,N,White shark,40.5997415,-123.8997734
FIJI,Cakau Levu,Diving,N,Nurse shark,-18.68333,-178.63333
BAHAMAS,Treasure Cay,Spearfishing,N,Blacktip shark,26.6774884,-77.2895287
JAMAICA,James Bond Beach,Spearfishing,Y,Unknown,18.4069363,-76.949061
USA,"Newcomb Hollow Beach, Wellfleet, Barnstable County",Boogie boarding,Y,White shark,41.9614853,-69.9939859
USA,"Pounders Beach, Oahu",Stand-Up Paddleboarding,N,"Tiger shark, 10' to 12'",38.882352,-105.937359
USA,"Huntington Beach, Orange County",Swimming,N,5' to 8' shark,33.6783336,-118.000016
BAHAMAS,Carter's Cay,Spearfishing,N,Reef shark,27.06757,-78.03104
USA,"Atlantic Beach, Carteret  County",Surfing,N,Unknown,34.6990505,-76.7402108
ITALY,Torino di Sangro ,Playing,N,Unknown,42.18814,14.540819
BAHAMAS,"Coco Bay, Green Turtle Cay",Standing,N,Nurse shark,26.75818,-77.32482
USA,"Rhode River, Chesapeake Bay",,N,Unknown,36.800716,-76.26892
USA,"Longnook Beach, Truro, Barnstable County",Swimming,N,White shark,42.0202242,-70.037816
USA,"Crystal Beach, Galveston  County",Spearfishing,N,"Said to involve a bull shark, 5' to 6'",29.4572611,-94.6389136
USA,"St Augustine, St Johns County",Surfing,N,Unknown,29.8946952,-81.3145395
CHINA,Shopping mall aquarium in Guiyang City,Putting hand in shark tank,N,Unknown,26.58333,106.71667
USA,"Atlantique Beach, Fire Island, Suffolk County",Boogie Boarding,N,Sandtiger shark,40.6476,-73.14595
USA,"Sailors Haven, Fire Island, Suffolk County",Wading,N,Sandtiger shark,40.6568681,-73.1044791
USA,Galveston,Surfing,N,Unknown,29.3872254,-94.992736
COLOMBIA,Provencia,Fishing,N,Unknown,4.0,-73.25
USA,"Trinidad Beach, Huboldt County",Wading,N,"Salmon shark, juvenile",39.503295,-86.789102
USA,"Playalinda Beach, Brevard County",Surfing,N,Unknown,28.64472,-80.62394
USA,"Fernandina Beach, Nassau County",Wading,N,Unknown,30.6696818,-81.4625919
BAHAMAS,Staniel Cay,Floating,N,"Nurse shark, 5'",24.1706517,-76.4415881
USA,"John Pennekamp Coral Reef State Park, Monroe County",Snorkeling,N,"Injury most likely caused by barracuda, not a shark",25.12068,-80.4045
USA,Myrtle Beach,Boogie boarding,N,Unknown,33.6956461,-78.8900409
USA,"Oceanside, San Diego County",Paddling,N,White shark,33.1958696,-117.379483
USA,"St. Simon Island, Glynn County",Standing,N,Unknown,31.21324,-81.4937
USA,"Habush, Oahu",Surfing,N,Unknown,38.882352,-105.937359
AUSTRALIA,Arrawarra Headland,Surfing,N,2 m shark,-30.060426,153.2016851
MEXICO,La Ticla,Free diving,N,"Tiger shark, 3m",18.4546571,-103.5538124
AUSTRALIA,"Flat Rock, Ballina",Kite surfing,N,Unknown,-28.8429552,153.6079901
BRAZIL,"Piedade Beach, Recife",Swimming,Y,Tiger shark,-8.05389,-34.88111
EGYPT,Brothers Island,Scuba Diving,N,Oceanic whitetip shark,27.0,30.0
USA,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,N,"Lemon shark, 3'",29.09637,-80.937
AUSTRALIA,Cairns Aquarium,Feeding sharks,N,Grey reef shark,-16.9186197,145.7736162
ENGLAND,Off Land's End,Fishing,N,Invalid incident,50.06822,-5.71607
AUSTRALIA,Dugong Bay,Feeding sharks,N,"Tawny nurse shark, 2m",-16.39813,123.87075
AUSTRALIA,"Sharpes Beach, Ballina",Surfing,N,Shark involvement not confirmed,-28.8402,153.6012
THAILAND,Sai Noi Beach,Swimming,N,Unknown,12.4535772,99.9816406
USA,Galveston Bay,Fishing,N,Sandtiger shark',29.5696734,-94.936592
COSTA RICA,Manuelita,Scuba diving,N,Tiger shark,5.561372,-87.0476701
AUSTRALIA,Gearys Beach,Surfing,N,Unknown,-33.27443,151.54614
AUSTRALIA,"Surfers Point, Prevelly",Surfing,N,3 m shark,-33.9770638,114.9849187
AUSTRALIA,"South Point, Gracetown",Surfing,N,"White shark, 3.5 m",-34.7451317,135.8781779
MALDIVES,Madoogali,Fishing,N,Tiger shark,4.096298,72.752797
SOUTH AFRICA,"Robberg Beach, Plettenberg Bay",Surf-skiing,N,"White shark, 2.5 m",-34.080205,23.3712191
USA,"Shipwreck’s Beach, Keoneloa Bay, Kauai",Body boarding,N,6' shark,19.581873,-155.032104
AUSTRALIA,"Lefthanders, Margaret River Area",Surfing,N,Unknown,-25.0,135.0
AUSTRALIA,"Cobblestones, Margaret River Area",Surfing,N,Unknown,-25.0,135.0
BAHAMAS,Nirvana Beach,Surfing,N,Tiger shark,25.0632358,-77.4884097
BRAZIL,"Praia de Sauaçuhy, Maceió",Fishing,N,Shark involvement not confirmed,-9.66583,-35.73528
NEW CALEDONIA,"Magenta Beach, Noumea",Foilboarding,N,2 m shark,-22.27631,166.4572
BAHAMAS,Bimini,Swimming,N,Bull shark,25.720065,-79.2744573
SOUTH AFRICA,St. Francis Bay,Surfing,N,White shark,-34.171676,24.832916
USA,Kukio Beach,Stand-Up Paddleboarding,N,"Tiger shark, 12'",19.817363,-155.9987741
AUSTRALIA,Waterman's Bay,Wading,N,Wobbegong shark,-31.84915,115.7559
