Country,Location,Activity,Fatal Y/N,Species,Latitude,Longitude
USA,"Blue Fish Channel, Key West, Monroe County",Kite-Surfing,N,Unknown,24.5557,-81.78259
CUBA,Playa Majana ,Fishing,N,Unknown,22.6962333,-82.7737177
AUSTRALIA,Delta Island,Wading,N,Unknown,-20.4407742,115.5471219
USA,Anaehoomalu Bay,Swimming,N,Blacktip reef shark 5',19.9154922,-155.8897838
MEXICO,Cancún,Swimming,N,Authorities report injury caused bya barracuda,21.1527467,-86.8425761
AUSTRALIA,Cheynes Beach ,Surf-sking,N,5m to 6m shark,-34.8801321,118.4000174
BRAZIL,Piedade Beach,Swimming,N,Unknown,-10.0,-55.0
BRAZIL,Praia de Milagres,Surfing,N,Unknown,-9.2702377,-35.3678879
NEW CALEDONIA,"Château-Royal Beach , Noumea",Swimming,F,Bull shark,-22.3095694,166.4493018
USA,"Jupiter Island, Martin County",Surfing,N,Unknown,27.03419,-80.1035822
ARGENTINA,Chubut Province,,N,Unknown,-43.7128356,-68.7461817
FIJI,Ura Estate,Spearfishing,N,Unknown,-18.0,178.0
AUSTRALIA,Freemantle,Swimming,Y,Bull shark,-33.2733333,149.3344444
AUSTRALIA,Lady Musgrave Island,Fishing,N,A small shark,-23.9066528,152.3929895
NEW CALEDONIA,"Chateau Royal Beach, Noumea",Swimming,N,Bull shark,-22.3095694,166.4493018
USA,"Outer Mole, Fort Zachrry Tatlor Historic Park, Key West, Monroe County",Swimming,N,Unknown,24.5557,-81.78259
MeXICO,Tobari Bay,Diving with  surface-supplied air,Y,Unknown,23.0,-102.0
USA,70 miles off Pensacola,Spearishing,N,Mako shark,30.42131,-87.21691
South Africa,Protea Banks,Diving/Shark Feeding,N,Blacktip,-30.83333,30.48333
USA,Anaeho'imalu Bay,Swimming,N,Tiger  shark?,35.7423,-90.56233
AUSTRALIA,Killick Creek near Crescent Head,Swimming,N,Unknown,-31.1621892,152.9291125
USA,Pago Pago Harbor,Diving,N,Unknown,-14.2762618,-170.6742817
USA,"Keawakapu Point, Kehei, Maui",Snorkeling,Y,Tiger shark,36.74432,-94.529129
USA,Hobe Sound,Swimming,N,Unknown,27.080492,-80.139918
USA,"Del Mar Beach, San Diego County",Swimming,N,Juvenile white shark,33.0282,-116.77021
USA,"Cape San Blas, Gulf County",Fishing,N,Unknown,29.7261835,-85.3887866
USA,"Otter Point, Pacific Grove",Surfing,N,Unknown,36.61774,-121.91662
USA,25 mikes from Empire,Fishing,N,Unknown,39.554728,-85.747286
BAHAMAS,Cat Island,Diving,N,Unknown,24.3385,-75.6149932
USA,Horn Island,Fishing,N,5'shark,30.2369736,-88.6804295
USA,Kauai,Snorkeling,N,Tiger shark?,22.0503838,-159.5588624
AUSTRALIA,Seacliff,Surf skiing ,N,3m shark,-35.0322783,138.5205924
USA,"Key Largo, Monroe County",Fishing,N,Juvenile nurse shark,25.091338,-80.4677741
USA,25 miles off Empire,Shipwreck,N,Unknown,37.63826,-120.90215
AUSTRALIA,Port Hedland,Spearfishing,N,Bull shark,-20.3111814,118.5801181
AUSTRALIA,"Nun's Beach, Portland",Surfing,N,Unknown,-38.35261,141.60574
USA,Centerville Beach,Surfing,N,"White shark, 13'",40.5739678,-124.3493451
SOUTH AFRICA,"Central Beach, Plettenberg Bay",Swimming,Y,"White shark, 13'",-34.0579676,23.3783236
BAHAMAS,Green Cay,Snorkeling,Y,Bull shark,24.0398002,-77.1717888
USA,"Lower Paia Beach Park, Maui",Swimming  or Snorkeling,N,Unknown,20.86774,-156.61706
AUSTRALIA,Avoca,Surfing,N,Bronze whaler,-24.8835577,152.3086117
AUSTRALIA,Coffs Harbour,Kayaking,N,"White shark, 3 m",-30.2985996,153.1094116
AUSTRALIA,Goode Beach,Spearfishing,N,White shark,-35.08639,117.9306
USA,"Looe Key, Monroe County",Snorkeling,N,"Bull shark, 9'",24.6703448,-81.3686116
USA,"Lovers Point, Pacific Grove, Monterey County",Paddleboarding,N,Unknown,36.6257951,-121.9177813
ENGLAND,Penzance,Snorkeling,N,Blue shark,50.1194794,-5.5352463
USA,"Florida Keys, Monroe County",Lobstering,N,Nurse shark,24.9287316,-80.6225927
USA,"Daytona Beach, Volusia County",Wading,N,Blacktip shark?,29.2108147,-81.0228331
USA,"Kismet Beach, Long Island",Surfing,N,6' shark,40.81677,-73.06622
USA,"Cape Canaveral, Brevard County",,N,Shark involvement not confirmed,28.4513556,-80.5283059
USA,"Topsail Beach, Pender County",Surfing,N,Unknown,34.3651685,-77.6305293
USA,"Content Keys, Monroe County",Fishing,N,Lemon shark  6',24.78713,-81.4859565
USA,"Daytona Beach Shores, Volusia County",,N,"""A small shark""",29.1760933,-80.9828323
USA,"Seaview Beach, Suffolk County",,N,Unknown,40.6470441,-73.149003
USA,"Smith Point Beach, Suffolk County",Surfing,N,Thought to involve a 4' sandtiger shark,40.94046,-72.68524
USA,"Ocean Beach, Long Island",Lifeguard Training Exercise,N,Unknown,40.81677,-73.06622
JAPAN,Nago,Snorkeling,Y,Unknown,26.5919599,127.9774759
INDONESIA,Balian Beach,Surfing,N,Unknown,-8.5008382,114.964111
EGYPT,Sahl Hasheesh,Snorkeling,Y,Oceaniic whitetip shark/tiger shark,27.0484448,33.8868439
USA,"Jones Beach, Nassau County",Swimming,N,Shark involvement not confirmed,40.5945469,-73.5029044
USA,"Keaton Beach, ",Scalloping,N,9' shark,29.8252983,-83.5938806
USA,"Sawyer Key , Monroe County",Swimming,N,Unknown,24.6599554,-81.5035696
USA,"Summerland Key, Monroe County",Jumped into water,N,Unknown,24.6645905,-81.4470555
SOUTH AFRICA,"Sanctuary Beach, Plettenberg Bay",Swimming,Y,While shark,-34.05274,23.3716
